experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
blend_with_analytical,analytical_weight=0.9,QS_4,23,"[30, 28, 31, 29, 32]",0.0,0.04319189164957765,3.1421024946454774,0.9565100946202312
blend_with_analytical,analytical_weight=0.9,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05446897933790004,2.910123925821595,0.9664288947903463
blend_with_analytical,analytical_weight=1.0,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.1282051282051282,2.0541237336955462,0.8186961921297763
blend_with_analytical,analytical_weight=1.0,QS_2,5,"[10, 11, 9, 12, 8]",0.0,0.04157309420467315,3.1803020948895306,0.9599171453808044
blend_with_analytical,analytical_weight=1.0,QS_3,17,"[20, 19, 21, 18, 22]",0.0,0.04814531130320604,3.033531522359895,0.9424328070944614
blend_with_analytical,analytical_weight=1.0,QS_4,23,"[30, 29, 31, 28, 32]",0.0,0.04279583226951648,3.1513145580162782,0.9574716692511178
blend_with_analytical,analytical_weight=1.0,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.054649791491896756,2.9068098797027004,0.9658068655562393
gnn_depth,depth=0,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.1304544464409252,2.036731182576498,0.8157509093285801
gnn_depth,depth=0,QS_2,5,"[10, 7, 11, 15, 9]",0.0,0.04247476701260557,3.158845096722162,0.9586429470453692
gnn_depth,depth=0,QS_3,17,"[20, 19, 23, 17, 24]",1.0,0.04980565370097301,2.9996267732633726,0.9397451949604768
gnn_depth,depth=0,QS_4,23,"[29, 30, 32, 27, 33]",0.0,0.04458819332155559,3.1102861787335683,0.9538195212387498
gnn_depth,depth=0,QS_5,32,"[39, 38, 36, 37, 35]",0.0,0.053239323905449686,2.9329579845319205,0.9657051652564725
gnn_depth,depth=1,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.13167662646953804,2.0274061615375527,0.8132539050634376
gnn_depth,depth=1,QS_2,5,"[11, 10, 8, 9, 14]",0.0,0.042217513558071136,3.1649201308099055,0.959224141994819
gnn_depth,depth=1,QS_3,17,"[18, 16, 20, 14, 19]",0.0,0.04555567927722768,3.0888199807821075,0.9472223335052973
gnn_depth,depth=1,QS_4,23,"[32, 31, 30, 28, 26]",0.0,0.04287027547786787,3.1495765725037472,0.9562179422089635
gnn_depth,depth=1,QS_5,32,"[39, 38, 37, 35, 36]",0.0,0.04876840439130853,3.020672626807722,0.9762090694305596
gnn_depth,depth=2,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.14785984232581414,1.9114904652286053,0.7810069366312428
gnn_depth,depth=2,QS_2,5,"[11, 10, 12, 13, 8]",0.0,0.04538262554966174,3.0926259443260897,0.9515897849633093
gnn_depth,depth=2,QS_3,17,"[22, 17, 18, 24, 21]",1.0,0.048799520264190585,3.020034796823189,0.940339848704365
gnn_depth,depth=2,QS_4,23,"[31, 28, 30, 27, 32]",0.0,0.04140986397614564,3.184236166236971,0.959966432812397
gnn_depth,depth=2,QS_5,32,"[39, 38, 37, 36, 34]",0.0,0.049254112833089704,3.010762405549433,0.9768852898320891
gnn_depth,depth=3,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12270201200681864,2.0979965296261303,0.8340942524429179
